source_row_id,bank_transaction_id,transaction_date,value_date,credit_amount,utr,bank_reference,description
B093,BANK093,2026-08-20,2026-08-20,1433.89,UTR100093,GW093,Settlement PAY093
B013,BANK013,2026-08-20,2026-08-20,544.06,UTR100013,GW013,Settlement PAY013
B004,BANK004,2026-08-20,2026-08-20,3464.68,UTR100004,GW004,Settlement PAY004
B082,BANK082,2026-08-21,2026-08-21,1392.16,UTR100082,GW082,Settlement PAY082
B023,BANK023,2026-08-20,2026-08-20,5202.72,UTR100023,GW023,Settlement PAY023
B029,BANK029,2026-08-20,2026-08-20,12735.29,UTR100029,GW029,Settlement PAY029
B042,BANK042,2026-08-20,2026-08-20,830.49,UTR100042,GW042,Settlement PAY042
B096,BANK096,2026-08-20,2026-08-20,3904.96,UTR100096,GW096,Settlement PAY096 (net of refund)
B067,BANK067,2026-08-20,2026-08-20,3551.36,UTR100067,GW067,Settlement PAY067
B002,BANK002,2026-08-20,2026-08-20,521.41,UTR100002,GW002,Settlement PAY002
B019,BANK019,2026-08-20,2026-08-20,12170.04,UTR100019,GW019,Settlement PAY019
B054,BANK054,2026-08-20,2026-08-20,14059.32,UTR100054,GW054,Settlement PAY054
B098,BANK098,2026-08-20,2026-08-20,4561.79,UTR100098,GW098,Settlement PAY098 (net of TDS)
B045,BANK045,2026-08-20,2026-08-20,1334.91,UTR100045,GW045,Settlement PAY045
B088,BANK088,2026-08-20,2026-08-20,5192.52,UTR100088,PAY-088,Settlement PAY088
B048,BANK048,2026-08-20,2026-08-20,4277.91,UTR100048,GW048,Settlement PAY048
B036,BANK036,2026-08-20,2026-08-20,8347.80,UTR100036,GW036,Settlement PAY036
B033,BANK033,2026-08-20,2026-08-20,8112.99,UTR100033,GW033,Settlement PAY033
B015,BANK015,2026-08-20,2026-08-20,9800.78,UTR100015,GW015,Settlement PAY015
B102,BANK102,2026-08-20,2026-08-20,8663.04,UTR100102,GW102,Settlement PAY102 (net of TDS)
B010,BANK010,2026-08-20,2026-08-20,592.49,UTR100010,GW010,Settlement PAY010
B084,BANK084,2026-08-22,2026-08-22,4851.99,UTR100084,GW084,Settlement PAY084
B074,BANK074,2026-08-20,2026-08-20,4589.80,UTR100074,GW074,Settlement PAY074
B064,BANK064,2026-08-20,2026-08-20,10316.52,UTR100064,GW064,Settlement PAY064
B012,BANK012,2026-08-20,2026-08-20,7654.53,UTR100012,GW012,Settlement PAY012
B035,BANK035,2026-08-20,2026-08-20,5771.24,UTR100035,GW035,Settlement PAY035
B056,BANK056,2026-08-20,2026-08-20,9195.60,UTR100056,GW056,Settlement PAY056
B077,BANK077,2026-08-20,2026-08-20,3005.96,UTR100077,GW077,Settlement PAY077
B032,BANK032,2026-08-20,2026-08-20,10986.52,UTR100032,GW032,Settlement PAY032
B018,BANK018,2026-08-20,2026-08-20,8900.60,UTR100018,GW018,Settlement PAY018
B089,BANK089,2026-08-20,2026-08-20,266.59,UTR100089,089,Settlement PAY089
B080,BANK080,2026-08-21,2026-08-21,4174.31,UTR100080,GW080,Settlement PAY080
B095,BANK095,2026-08-20,2026-08-20,1934.79,UTR100095,GW095,Settlement PAY095 (net of refund)
B094,BANK094,2026-08-20,2026-08-20,4146.04,UTR100094,GW094,Settlement PAY094 (net of refund)
B005,BANK005,2026-08-20,2026-08-20,11086.60,UTR100005,GW005,Settlement PAY005
B044,BANK044,2026-08-20,2026-08-20,4447.41,UTR100044,GW044,Settlement PAY044
B030,BANK030,2026-08-20,2026-08-20,9115.33,UTR100030,GW030,Settlement PAY030
B087,BANK087,2026-08-20,2026-08-20,5832.25,UTR100087,GW087,Settlement PAY087
B073,BANK073,2026-08-20,2026-08-20,3346.08,UTR100073,GW073,Settlement PAY073
