source_row_id,payment_id,payment_date,amount,status,gateway_reference,customer_reference,settlement_expected_date
G087,PAY087,2026-08-20,5832.25,CAPTURED,GW087,ORD087,2026-08-20
G075,PAY075,2026-08-20,1471.42,CAPTURED,GW075,ORD075,2026-08-20
G060,PAY060,2026-08-20,5784.91,CAPTURED,GW060,ORD060,2026-08-20
G089,PAY089,2026-08-20,266.59,CAPTURED,GW089,ORD089,2026-08-20
G101,PAY097-REFUND,2026-08-20,-945.02,REFUNDED,GW097-R,ORD097,2026-08-20
G006,PAY006,2026-08-20,10198.99,CAPTURED,GW006,ORD006,2026-08-20
G093,PAY093,2026-08-20,1433.89,CAPTURED,GW093,ORD093,2026-08-20
G010,PAY010,2026-08-20,592.49,CAPTURED,GW010,ORD010,2026-08-20
G012,PAY012,2026-08-20,7654.53,CAPTURED,GW012,ORD012,2026-08-20
G049,PAY049,2026-08-20,9589.91,CAPTURED,GW049,ORD049,2026-08-20
G082,PAY082,2026-08-20,1392.16,CAPTURED,GW082,ORD082,2026-08-21
G020,PAY020,2026-08-20,246.51,CAPTURED,GW020,ORD020,2026-08-20
G105,PAY101,2026-08-20,5686.00,CAPTURED,GW101,ORD101,2026-08-20
G056,PAY056,2026-08-20,9195.60,CAPTURED,GW056,ORD056,2026-08-20
G051,PAY051,2026-08-20,5647.19,CAPTURED,GW051,ORD051,2026-08-20
G054,PAY054,2026-08-20,14059.32,CAPTURED,GW054,ORD054,2026-08-20
G072,PAY072,2026-08-20,4406.56,CAPTURED,GW072,ORD072,2026-08-20
G019,PAY019,2026-08-20,12170.04,CAPTURED,GW019,ORD019,2026-08-20
G096,PAY095,2026-08-20,2669.31,CAPTURED,GW095,ORD095,2026-08-20
G098,PAY096,2026-08-20,4608.59,CAPTURED,GW096,ORD096,2026-08-20
G025,PAY025,2026-08-20,14364.61,CAPTURED,GW025,ORD025,2026-08-20
G094,PAY094,2026-08-20,5845.77,CAPTURED,GW094,ORD094,2026-08-20
G039,PAY039,2026-08-20,12946.35,CAPTURED,GW039,ORD039,2026-08-20
G064,PAY064,2026-08-20,10316.52,CAPTURED,GW064,ORD064,2026-08-20
G059,PAY059,2026-08-20,2576.53,CAPTURED,GW059,ORD059,2026-08-20
G053,PAY053,2026-08-20,4114.62,CAPTURED,GW053,ORD053,2026-08-20
G021,PAY021,2026-08-20,12116.42,CAPTURED,GW021,ORD021,2026-08-20
G081,PAY081,2026-08-20,6095.10,CAPTURED,GW081,ORD081,2026-08-21
G002,PAY002,2026-08-20,521.41,CAPTURED,GW002,ORD002,2026-08-20
G024,PAY024,2026-08-20,2458.87,CAPTURED,GW024,ORD024,2026-08-20
G084,PAY084,2026-08-20,4851.99,CAPTURED,GW084,ORD084,2026-08-22
G065,PAY065,2026-08-20,12666.35,CAPTURED,GW065,ORD065,2026-08-20
G106,PAY102,2026-08-20,8750.55,CAPTURED,GW102,ORD102,2026-08-20
G036,PAY036,2026-08-20,8347.80,CAPTURED,GW036,ORD036,2026-08-20
G023,PAY023,2026-08-20,5202.72,CAPTURED,GW023,ORD023,2026-08-20
G080,PAY080,2026-08-20,4174.31,CAPTURED,GW080,ORD080,2026-08-21
G038,PAY038,2026-08-20,9335.02,CAPTURED,GW038,ORD038,2026-08-20
G007,PAY007,2026-08-20,13398.87,CAPTURED,GW007,ORD007,2026-08-20
G013,PAY013,2026-08-20,544.06,CAPTURED,GW013,ORD013,2026-08-20
G027,PAY027,2026-08-20,1527.28,CAPTURED,GW027,ORD027,2026-08-20
G050,PAY050,2026-08-20,5567.76,CAPTURED,GW050,ORD050,2026-08-20
G076,PAY076,2026-08-20,2894.57,CAPTURED,GW076,ORD076,2026-08-20
G097,PAY095-REFUND,2026-08-20,-734.52,REFUNDED,GW095-R,ORD095,2026-08-20
G045,PAY045,2026-08-20,1334.91,CAPTURED,GW045,ORD045,2026-08-20
G037,PAY037,2026-08-20,12466.66,CAPTURED,GW037,ORD037,2026-08-20
G083,PAY083,2026-08-20,6378.22,CAPTURED,GW083,ORD083,2026-08-22
G035,PAY035,2026-08-20,5771.24,CAPTURED,GW035,ORD035,2026-08-20
G014,PAY014,2026-08-20,3102.74,CAPTURED,GW014,ORD014,2026-08-20
G079,PAY079,2026-08-20,7979.14,CAPTURED,GW079,ORD079,2026-08-21
G043,PAY043,2026-08-20,3534.29,CAPTURED,GW043,ORD043,2026-08-20
G018,PAY018,2026-08-20,8900.60,CAPTURED,GW018,ORD018,2026-08-20
G086,PAY086,2026-08-20,3268.86,CAPTURED,GW086,ORD086,2026-08-20
G033,PAY033,2026-08-20,8112.99,CAPTURED,GW033,ORD033,2026-08-20
G074,PAY074,2026-08-20,4589.83,CAPTURED,GW074,ORD074,2026-08-20
G088,PAY088,2026-08-20,5192.52,CAPTURED,GW088,ORD088,2026-08-20
G066,PAY066,2026-08-20,11673.60,CAPTURED,GW066,ORD066,2026-08-20
G062,PAY062,2026-08-20,9654.00,CAPTURED,GW062,ORD062,2026-08-20
G102,PAY098,2026-08-20,4607.87,CAPTURED,GW098,ORD098,2026-08-20
G004,PAY004,2026-08-20,3464.68,CAPTURED,GW004,ORD004,2026-08-20
G041,PAY041,2026-08-20,10612.89,CAPTURED,GW041,ORD041,2026-08-20
G046,PAY046,2026-08-20,3606.94,CAPTURED,GW046,ORD046,2026-08-20
G005,PAY005,2026-08-20,11086.60,CAPTURED,GW005,ORD005,2026-08-20
G107,PAY103,2026-08-20,2631.40,CAPTURED,GW103,ORD103,2026-08-20
G091,PAY091,2026-08-20,2885.99,CAPTURED,GW091,ORD091,2026-08-20
G030,PAY030,2026-08-20,9115.33,CAPTURED,GW030,ORD030,2026-08-20
G103,PAY099,2026-08-20,11213.65,CAPTURED,GW099,ORD099,2026-08-20
G044,PAY044,2026-08-20,4447.41,CAPTURED,GW044,ORD044,2026-08-20
G092,PAY092,2026-08-20,2379.40,CAPTURED,GW092,ORD092,2026-08-20
G029,PAY029,2026-08-20,12735.29,CAPTURED,GW029,ORD029,2026-08-20
G032,PAY032,2026-08-20,10986.52,CAPTURED,GW032,ORD032,2026-08-20
G016,PAY016,2026-08-20,8242.38,CAPTURED,GW016,ORD016,2026-08-20
G058,PAY058,2026-08-20,10977.53,CAPTURED,GW058,ORD058,2026-08-20
G067,PAY067,2026-08-20,3551.36,CAPTURED,GW067,ORD067,2026-08-20
G057,PAY057,2026-08-20,2691.41,CAPTURED,GW057,ORD057,2026-08-20
