transaction_id,expected_status,expected_category,expected_matching_tier,expected_gateway_presence,expected_bank_presence,expected_ledger_presence,expected_amount_difference,expected_date_difference,discrepancy_id
PAY001,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY002,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY003,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY004,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY005,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY006,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY007,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY008,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY009,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY010,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY011,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY012,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY013,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY014,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY015,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY016,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY017,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY018,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY019,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY020,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY021,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY022,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY023,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY024,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY025,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY026,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY027,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY028,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY029,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY030,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY031,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY032,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY033,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
