source_row_id,ledger_entry_id,entry_date,payment_reference,invoice_reference,recorded_amount,tax_amount,tds_amount,entry_type
L090,LED090,2026-08-20,PAY090,INV090,4380.19,0.00,0.00,SALE
L029,LED029,2026-08-20,PAY029,INV029,12735.29,0.00,0.00,SALE
L101,LED096,2026-08-20,PAY096,INV096,4608.59,0.00,0.00,SALE
L004,LED004,2026-08-20,PAY004,INV004,3464.68,0.00,0.00,SALE
L038,LED038,2026-08-20,PAY038,INV038,9335.02,0.00,0.00,SALE
L069,LED069,2026-08-20,PAY069,INV069,4834.48,0.00,0.00,SALE
L077,LED077,2026-08-20,PAY077,INV077,3006.01,0.00,0.00,SALE
L028,LED028,2026-08-20,PAY028,INV028,1586.24,0.00,0.00,SALE
L066,LED066,2026-08-20,PAY066,INV066,11673.60,0.00,0.00,SALE
L108,LED101,2026-08-20,PAY101,INV101,5686.00,0.00,56.86,SALE
L103,LED097,2026-08-20,PAY097,INV097,4722.34,0.00,0.00,SALE
L060,LED060,2026-08-20,PAY060,INV060,5784.91,0.00,0.00,SALE
L024,LED024,2026-08-20,PAY024,INV024,2458.87,0.00,0.00,SALE
L079,LED079,2026-08-20,PAY079,INV079,7979.14,0.00,0.00,SALE
L049,LED049,2026-08-20,PAY049,INV049,9589.91,0.00,0.00,SALE
L035,LED035,2026-08-20,PAY035,INV035,5771.24,0.00,0.00,SALE
L026,LED026,2026-08-20,PAY026,INV026,5148.43,0.00,0.00,SALE
L045,LED045,2026-08-20,PAY045,INV045,1334.91,0.00,0.00,SALE
L064,LED064,2026-08-20,PAY064,INV064,10316.52,0.00,0.00,SALE
L073,LED073,2026-08-20,PAY073,INV073,3346.11,0.00,0.00,SALE
L089,LED089,2026-08-20,PAY089,INV089,266.59,0.00,0.00,SALE
L061,LED061,2026-08-20,PAY061,INV061,14844.42,0.00,0.00,SALE
L058,LED058,2026-08-20,PAY058,INV058,10977.53,0.00,0.00,SALE
L039,LED039,2026-08-20,PAY039,INV039,12946.35,0.00,0.00,SALE
L009,LED009,2026-08-20,PAY009,INV009,6415.54,0.00,0.00,SALE
L042,LED042,2026-08-20,PAY042,INV042,830.49,0.00,0.00,SALE
L062,LED062,2026-08-20,PAY062,INV062,9654.00,0.00,0.00,SALE
L041,LED041,2026-08-20,PAY041,INV041,10612.89,0.00,0.00,SALE
L080,LED080,2026-08-20,PAY080,INV080,4174.31,0.00,0.00,SALE
L094,LED092_L094,2026-08-20,PAY092,INV092,2379.40,0.00,0.00,SALE
L008,LED008,2026-08-20,PAY008,INV008,1441.04,0.00,0.00,SALE
L037,LED037,2026-08-20,PAY037,INV037,12466.66,0.00,0.00,SALE
L081,LED081,2026-08-20,PAY081,INV081,6095.10,0.00,0.00,SALE
L023,LED023,2026-08-20,PAY023,INV023,5202.72,0.00,0.00,SALE
L030,LED030,2026-08-20,PAY030,INV030,9115.33,0.00,0.00,SALE
L013,LED013,2026-08-20,PAY013,INV013,544.06,0.00,0.00,SALE
L083,LED083,2026-08-20,PAY083,INV083,6378.22,0.00,0.00,SALE
L031,LED031,2026-08-20,PAY031,INV031,12135.85,0.00,0.00,SALE
L003,LED003,2026-08-20,PAY003,INV003,4234.19,0.00,0.00,SALE
L025,LED025,2026-08-20,PAY025,INV025,14364.61,0.00,0.00,SALE
L100,LED095R,2026-08-20,PAY095-REFUND,INV095,-734.52,0.00,0.00,REFUND
L054,LED054,2026-08-20,PAY054,INV054,14059.32,0.00,0.00,SALE
L018,LED018,2026-08-20,PAY018,INV018,8900.60,0.00,0.00,SALE
L086,LED086,2026-08-20,PAY086,INV086,3268.86,0.00,0.00,SALE
