source_row_id,bank_transaction_id,transaction_date,value_date,credit_amount,utr,bank_reference,description
B202,BANK204-B,2026-08-20,2026-08-20,3053.09,UTR100204-2,GW204,Settlement PAY204 (instr 2/2)
B209,BANK209,2026-08-20,2026-08-20,7128.15,UTR100207-9,GW207,Settlement PAY207 (instr)
B106,BANK106,2026-08-20,2026-08-20,9668.28,UTR100106,GW106,Settlement PAY106
B193,BANK199,2026-08-20,2026-08-20,3584.05,UTR100199,GW199,Settlement PAY199 (MDR + fee deducted)
B259,BANK248-B,2026-08-20,2026-08-20,4563.53,UTR100248-2,GW248,Settlement PAY248 (instr 2/2)
B180,BANK186,2026-08-20,2026-08-20,3247.95,UTR100186,UNKNOWN,Unidentified inward credit
B232,BANK228,2026-08-20,2026-08-20,4638.54,UTR100228,GW228,Settlement PAY228 (installment for INV227)
B200,BANK203-B,2026-08-20,2026-08-20,3607.78,UTR100203-2,GW203,Settlement PAY203 (instr 2/2)
B114,BANK114,2026-08-20,2026-08-20,2802.98,UTR100114,GW114,Settlement PAY114
B185,BANK191,2026-08-20,2026-08-20,9049.65,UTR100191,GW191,Settlement PAY191 (incl. GST)
B249,BANK241,2026-08-20,2026-08-20,8443.23,UTR100241,UNKNOWN,Unidentified inward credit
B094,BANK094,2026-08-20,2026-08-20,6419.08,UTR100094,GW094,Settlement PAY094
B026,BANK026,2026-08-20,2026-08-20,5148.43,UTR100026,GW026,Settlement PAY026
B169,BANK169,2026-08-20,2026-08-20,3852.73,UTR100169,GW169,Settlement PAY169 (net of refund)
B199,BANK203-A,2026-08-20,2026-08-20,4139.85,UTR100203-1,GW203,Settlement PAY203 (instr 1/2)
B131,BANK131,2026-08-20,2026-08-20,1676.06,UTR100131,GW131,Settlement PAY131
B178,BANK178,2026-08-20,2026-08-20,6591.15,UTR100178,GW178,Settlement PAY178 (net of TDS)
B175,BANK175,2026-08-20,2026-08-20,3800.97,UTR100175,GW175,Settlement PAY175 (net of TDS)
B217,BANK217,2026-08-20,2026-08-20,2500.51,UTR100210-7,GW210,Settlement PAY210 (instr)
B053,BANK053,2026-08-20,2026-08-20,4114.62,UTR100053,GW053,Settlement PAY053
B101,BANK101,2026-08-20,2026-08-20,320.49,UTR100101,GW101,Settlement PAY101
B021,BANK021,2026-08-20,2026-08-20,12116.42,UTR100021,GW021,Settlement PAY021
B247,BANK239,2026-08-20,2026-08-20,8803.78,UTR100239,UNKNOWN,Unidentified inward credit
B240,BANK2330,2026-08-20,2026-08-20,2200.95,UTR100233,XREF233,Inward credit B240
B253,BANK245,2026-08-20,2026-08-20,12484.04,UTR100245,GW245,Settlement PAY245
B034,BANK034,2026-08-20,2026-08-20,14600.77,UTR100034,GW034,Settlement PAY034
B139,BANK139,2026-08-20,2026-08-20,2788.58,UTR100139,GW139,Settlement PAY139
B229,BANK225,2026-08-20,2026-08-20,1692.30,UTR100225,GW225,Settlement PAY225 (installment for INV225)
B042,BANK042,2026-08-20,2026-08-20,830.49,UTR100042,GW042,Settlement PAY042
B135,BANK135,2026-08-20,2026-08-20,3875.99,UTR100135,GW135,Settlement PAY135
B221,BANK213,2026-08-22,2026-08-22,4682.53,UTR100213,GW213,"Settlement PAY213 (net of refund, delayed)"
B035,BANK035,2026-08-20,2026-08-20,5771.24,UTR100035,GW035,Settlement PAY035
B261,BANK249-A,2026-08-20,2026-08-20,4424.50,UTR100249-1,GW249,Settlement PAY249 (instr 1/2)
B164,BANK164,2026-08-20,2026-08-20,712.14,UTR100164,GW164,Settlement PAY164
B019,BANK019,2026-08-20,2026-08-20,12170.04,UTR100019,GW019,Settlement PAY019
B129,BANK129,2026-08-20,2026-08-20,13199.02,UTR100129,GW129,Settlement PAY129
B183,BANK189,2026-08-20,2026-08-20,10979.96,UTR100189,GW189,Settlement PAY189 (incl. GST)
B236,BANK2316,2026-08-20,2026-08-20,4703.80,UTR100231,XREF231,Inward credit B236
B001,BANK001,2026-08-20,2026-08-20,9645.49,UTR100001,GW001,Settlement PAY001
B045,BANK045,2026-08-20,2026-08-20,1334.91,UTR100045,GW045,Settlement PAY045
B191,BANK197,2026-08-20,2026-08-20,13840.91,UTR100197,GW197,Settlement PAY197 (MDR + fee deducted)
B251,BANK243,2026-08-20,2026-08-20,4233.08,UTR100243,GW243,Settlement PAY243
B012,BANK012,2026-08-20,2026-08-20,7654.53,UTR100012,GW012,Settlement PAY012
B181,BANK187,2026-08-20,2026-08-20,5095.11,UTR100187,GW187,Settlement PAY187 (incl. GST)
B168,BANK168,2026-08-20,2026-08-20,2787.10,UTR100168,GW168,Settlement PAY168 (net of refund)
B103,BANK103,2026-08-20,2026-08-20,10273.40,UTR100103,GW103,Settlement PAY103
B043,BANK043,2026-08-20,2026-08-20,3534.29,UTR100043,GW043,Settlement PAY043
