source_row_id,payment_id,payment_date,amount,status,gateway_reference,customer_reference,settlement_expected_date
G200,PAY196,2026-08-20,8721.46,CAPTURED,GW196,ORD196,2026-08-20
G118,PAY118,2026-08-20,9638.40,CAPTURED,GW118,ORD118,2026-08-20
G116,PAY116,2026-08-20,13077.20,CAPTURED,GW116,ORD116,2026-08-20
G166,PAY165-REFUND,2026-08-20,-870.67,REFUNDED,GW165-R,ORD165,2026-08-20
G005,PAY005,2026-08-20,11086.60,CAPTURED,GW005,ORD005,2026-08-20
G191,PAY187,2026-08-20,4852.49,CAPTURED,GW187,ORD187,2026-08-20
G157,PAY157,2026-08-20,4022.10,CAPTURED,GW157,ORD157,2026-08-20
G023,PAY023,2026-08-20,5202.72,CAPTURED,GW023,ORD023,2026-08-20
G206,PAY202,2026-08-20,5451.11,CAPTURED,GW202,ORD202,2026-08-20
G048,PAY048,2026-08-20,4277.91,CAPTURED,GW048,ORD048,2026-08-20
G090,PAY090,2026-08-20,849.68,CAPTURED,GW090,ORD090,2026-08-20
G128,PAY128,2026-08-20,13947.11,CAPTURED,GW128,ORD128,2026-08-20
G079,PAY079,2026-08-20,4083.47,CAPTURED,GW079,ORD079,2026-08-20
G248,PAY236,2026-08-20,7393.55,CAPTURED,GW236,ORD236,2026-08-20
G135,PAY135,2026-08-20,3876.01,CAPTURED,GW135,ORD135,2026-08-20
G161,PAY161,2026-08-20,689.60,CAPTURED,GW161,ORD161,2026-08-20
G056,PAY056,2026-08-20,9195.60,CAPTURED,GW056,ORD056,2026-08-20
G042,PAY042,2026-08-20,830.49,CAPTURED,GW042,ORD042,2026-08-20
G065,PAY065,2026-08-20,12666.35,CAPTURED,GW065,ORD065,2026-08-20
G125,PAY125,2026-08-20,158.49,CAPTURED,GW125,ORD125,2026-08-20
G016,PAY016,2026-08-20,8242.38,CAPTURED,GW016,ORD016,2026-08-20
G244,PAY232,2026-08-20,2314.52,CAPTURED,GW232,ORD232,2026-08-20
G203,PAY199,2026-08-20,3682.55,CAPTURED,GW199,ORD199,2026-08-20
G175,PAY170,2026-08-20,2841.09,CAPTURED,GW170,ORD170,2026-08-20
G261,PAY249,2026-08-20,8048.36,CAPTURED,GW249,ORD249,2026-08-20
G069,PAY069,2026-08-20,4834.48,CAPTURED,GW069,ORD069,2026-08-20
G136,PAY136,2026-08-20,2481.36,CAPTURED,GW136,ORD136,2026-08-20
G126,PAY126,2026-08-20,4963.72,CAPTURED,GW126,ORD126,2026-08-20
G193,PAY189,2026-08-20,9305.05,CAPTURED,GW189,ORD189,2026-08-20
G195,PAY191,2026-08-20,8618.71,CAPTURED,GW191,ORD191,2026-08-20
G258,PAY246,2026-08-20,4432.78,CAPTURED,GW246,ORD246,2026-08-20
G014,PAY014,2026-08-20,3102.74,CAPTURED,GW014,ORD014,2026-08-20
G154,PAY154,2026-08-20,2943.24,CAPTURED,GW154,ORD154,2026-08-20
G059,PAY059,2026-08-20,2576.53,CAPTURED,GW059,ORD059,2026-08-20
G017,PAY017,2026-08-20,3423.54,CAPTURED,GW017,ORD017,2026-08-20
G004,PAY004,2026-08-20,3464.68,CAPTURED,GW004,ORD004,2026-08-20
G181,PAY175,2026-08-20,3839.36,CAPTURED,GW175,ORD175,2026-08-20
G165,PAY165,2026-08-20,6369.28,CAPTURED,GW165,ORD165,2026-08-20
G251,PAY239,2026-08-20,8803.78,CAPTURED,GW239,ORD239,2026-08-20
G072,PAY072,2026-08-20,14152.21,CAPTURED,GW072,ORD072,2026-08-20
G006,PAY006,2026-08-20,10198.99,CAPTURED,GW006,ORD006,2026-08-20
G216,PAY211-REFUND,2026-08-20,-386.22,REFUNDED,GW211-R,ORD211,2026-08-22
G223,PAY215,2026-08-20,2847.89,CAPTURED,GW215,ORD215,2026-08-20
G101,PAY101,2026-08-20,320.49,CAPTURED,GW101,ORD101,2026-08-20
G144,PAY144,2026-08-20,699.40,CAPTURED,GW144,ORD144,2026-08-21
G188,PAY182,2026-08-20,1076.23,CAPTURED,GW182,ORD182,2026-08-20
G113,PAY113,2026-08-20,7583.70,CAPTURED,GW113,ORD113,2026-08-20
G178,PAY172,2026-08-20,8869.30,CAPTURED,GW172,ORD172,2026-08-20
G040,PAY040,2026-08-20,8723.68,CAPTURED,GW040,ORD040,2026-08-20
G087,PAY087,2026-08-20,14963.43,CAPTURED,GW087,ORD087,2026-08-20
G102,PAY102,2026-08-20,10852.72,CAPTURED,GW102,ORD102,2026-08-20
G095,PAY095,2026-08-20,1093.39,CAPTURED,GW095,ORD095,2026-08-20
G047,PAY047,2026-08-20,1649.87,CAPTURED,GW047,ORD047,2026-08-20
G026,PAY026,2026-08-20,5148.43,CAPTURED,GW026,ORD026,2026-08-20
G052,PAY052,2026-08-20,3261.18,CAPTURED,GW052,ORD052,2026-08-20
G197,PAY193,2026-08-20,3898.98,CAPTURED,GW193,ORD193,2026-08-20
G260,PAY248,2026-08-20,10142.73,CAPTURED,GW248,ORD248,2026-08-20
G213,PAY209,2026-08-20,19808.50,CAPTURED,GW209,ORD209,2026-08-20
G025,PAY025,2026-08-20,14364.61,CAPTURED,GW025,ORD025,2026-08-20
G262,PAY250,2026-08-20,8954.36,CAPTURED,GW250,ORD250,2026-08-20
G123,PAY123,2026-08-20,11712.60,CAPTURED,GW123,ORD123,2026-08-20
G088,PAY088,2026-08-20,7716.47,CAPTURED,GW088,ORD088,2026-08-20
G220,PAY213-REFUND,2026-08-20,-2156.11,REFUNDED,GW213-R,ORD213,2026-08-22
G234,PAY222,2026-08-20,4970.99,CAPTURED,GW222,ORD222,2026-08-20
G129,PAY129,2026-08-20,13199.02,CAPTURED,GW129,ORD129,2026-08-20
G029,PAY029,2026-08-20,12735.29,CAPTURED,GW029,ORD029,2026-08-20
G186,PAY180,2026-08-20,3526.28,CAPTURED,GW180,ORD180,2026-08-20
G210,PAY206,2026-08-20,3879.13,CAPTURED,GW206,ORD206,2026-08-20
G039,PAY039,2026-08-20,12946.35,CAPTURED,GW039,ORD039,2026-08-20
G139,PAY139,2026-08-20,2788.62,CAPTURED,GW139,ORD139,2026-08-20
G245,PAY233,2026-08-20,2200.95,CAPTURED,GW233,ORD233,2026-08-20
G062,PAY062,2026-08-20,9654.00,CAPTURED,GW062,ORD062,2026-08-20
G235,PAY223,2026-08-20,4085.04,CAPTURED,GW223,ORD223,2026-08-20
G211,PAY207,2026-08-20,18998.89,CAPTURED,GW207,ORD207,2026-08-20
G003,PAY003,2026-08-20,4234.19,CAPTURED,GW003,ORD003,2026-08-20
G075,PAY075,2026-08-20,9883.26,CAPTURED,GW075,ORD075,2026-08-20
G091,PAY091,2026-08-20,1778.29,CAPTURED,GW091,ORD091,2026-08-20
G147,PAY147,2026-08-20,753.75,CAPTURED,GW147,ORD147,2026-08-21
G027,PAY027,2026-08-20,1527.28,CAPTURED,GW027,ORD027,2026-08-20
G008,PAY008,2026-08-20,1441.04,CAPTURED,GW008,ORD008,2026-08-20
G164,PAY164,2026-08-20,712.14,CAPTURED,GW164,ORD164,2026-08-20
G257,PAY245,2026-08-20,10220.12,CAPTURED,GW245,ORD245,2026-08-20
G121,PAY121,2026-08-20,11473.29,CAPTURED,GW121,ORD121,2026-08-20
G196,PAY192,2026-08-20,6866.71,CAPTURED,GW192,ORD192,2026-08-20
G053,PAY053,2026-08-20,4114.62,CAPTURED,GW053,ORD053,2026-08-20
G184,PAY178,2026-08-20,6657.73,CAPTURED,GW178,ORD178,2026-08-20
G009,PAY009,2026-08-20,6415.54,CAPTURED,GW009,ORD009,2026-08-20
G201,PAY197,2026-08-20,14032.65,CAPTURED,GW197,ORD197,2026-08-20
G093,PAY093,2026-08-20,11912.38,CAPTURED,GW093,ORD093,2026-08-20
G246,PAY234,2026-08-20,3195.42,CAPTURED,GW234,ORD234,2026-08-20
G232,PAY220,2026-08-20,3529.23,CAPTURED,GW220,ORD220,2026-08-20
G239,PAY227,2026-08-20,6426.31,CAPTURED,GW227,ORD227,2026-08-20
G020,PAY020,2026-08-20,246.51,CAPTURED,GW020,ORD020,2026-08-20
G218,PAY212-REFUND,2026-08-20,-1167.59,REFUNDED,GW212-R,ORD212,2026-08-22
G011,PAY011,2026-08-20,3396.77,CAPTURED,GW011,ORD011,2026-08-20
G070,PAY070,2026-08-20,4125.95,CAPTURED,GW070,ORD070,2026-08-20
G041,PAY041,2026-08-20,10612.89,CAPTURED,GW041,ORD041,2026-08-20
G043,PAY043,2026-08-20,3534.29,CAPTURED,GW043,ORD043,2026-08-20
G167,PAY166,2026-08-20,6803.56,CAPTURED,GW166,ORD166,2026-08-20
G106,PAY106,2026-08-20,9668.28,CAPTURED,GW106,ORD106,2026-08-20
G037,PAY037,2026-08-20,12466.66,CAPTURED,GW037,ORD037,2026-08-20
G092,PAY092,2026-08-20,9467.57,CAPTURED,GW092,ORD092,2026-08-20
G250,PAY238,2026-08-20,4122.07,CAPTURED,GW238,ORD238,2026-08-20
G140,PAY140,2026-08-20,1165.53,CAPTURED,GW140,ORD140,2026-08-20
G237,PAY225,2026-08-20,1692.30,CAPTURED,GW225,ORD225,2026-08-20
G031,PAY031,2026-08-20,12135.85,CAPTURED,GW031,ORD031,2026-08-20
G214,PAY210,2026-08-20,9490.68,CAPTURED,GW210,ORD210,2026-08-20
G145,PAY145,2026-08-20,4788.81,CAPTURED,GW145,ORD145,2026-08-21
G067,PAY067,2026-08-20,3551.36,CAPTURED,GW067,ORD067,2026-08-20
G100,PAY100,2026-08-20,12932.58,CAPTURED,GW100,ORD100,2026-08-20
G150,PAY150,2026-08-20,4210.42,CAPTURED,GW150,ORD150,2026-08-22
G036,PAY036,2026-08-20,8347.80,CAPTURED,GW036,ORD036,2026-08-20
G209,PAY205,2026-08-20,8499.43,CAPTURED,GW205,ORD205,2026-08-20
G198,PAY194,2026-08-20,4177.01,CAPTURED,GW194,ORD194,2026-08-20
G229,PAY218,2026-08-20,6922.73,CAPTURED,GW218,ORD218,2026-08-20
G097,PAY097,2026-08-20,14942.40,CAPTURED,GW097,ORD097,2026-08-20
G034,PAY034,2026-08-20,14600.77,CAPTURED,GW034,ORD034,2026-08-20
