source_row_id,ledger_entry_id,entry_date,payment_reference,invoice_reference,recorded_amount,tax_amount,tds_amount,gst_amount,mdr_amount,mdr_gst,fee_amount,entry_type
L029,LED029,2026-08-20,PAY029,INV029,12735.29,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L240,LED226,2026-08-20,PAY226,INV225,2385.06,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L079,LED079,2026-08-20,PAY079,INV079,4083.47,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L237,LED223,2026-08-20,PAY223,INV223,4085.04,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L189,LED179,2026-08-20,PAY179,INV179,2184.75,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L147,LED147,2026-08-20,PAY147,INV147,753.75,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L052,LED052,2026-08-20,PAY052,INV052,3261.18,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L192,LED182,2026-08-20,PAY182,INV182,1076.23,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L092,LED092,2026-08-20,PAY092,INV092,9467.57,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L165,LED163_L165,2026-08-20,PAY163,INV163,2761.63,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L255,LED241,2026-08-20,PAY241,INV241,8443.23,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L055,LED055,2026-08-20,PAY055,INV055,9773.33,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L136,LED136,2026-08-20,PAY136,INV136,2481.36,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L033,LED033,2026-08-20,PAY033,INV033,8112.99,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L174,LED167R,2026-08-20,PAY167-REFUND,INV167,-730.02,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L149,LED149,2026-08-20,PAY149,INV149,6905.16,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L183,LED173,2026-08-20,PAY173,INV173,7865.29,0.00,78.65,0.00,0.00,0.00,0.00,SALE
L067,LED067,2026-08-20,PAY067,INV067,3551.36,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L054,LED054,2026-08-20,PAY054,INV054,14059.32,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L176,LED168R,2026-08-20,PAY168-REFUND,INV168,-362.44,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
